,institution,location,country,website,status,point,latitude,longitude,altitude,geometry
175,Manicaland State University Of Applied Sciences,"Stair Guthrie Road P Bag 7001 Fernhill, Mutare, Zimbabwe",Zimbabwe,https://msuas.ac.zw,Full Member,"(-18.9591007, 32.6428108, 0.0)",-18.9591007,32.6428108,0,POINT (32.6428108 -18.9591007)
176,Manicaland State University Of Applied Sciences (msuas),"Stair Guthrie Road P Bag 7001 Fernhill, Mutare, Zimbabwe",Zimbabwe,https://msuas.ac.zw,Full Member,"(-18.9591007, 32.6428108, 0.0)",-18.9591007,32.6428108,0,POINT (32.6428108 -18.9591007)
177,Mansoura University,"١شارع El Gomhouria St, Dakahlia Governorate 35516, Egypt",Egypt,http://www.mans.eun.eg,Full Member,"(31.0448903, 31.35368669999999, 0.0)",31.0448903,31.3536867,0,POINT (31.35368669999999 31.0448903)
178,Marodijeh University,,Somalia,http://www.miu.edu.so,Full Member,"(9.5834546,44.0312914,0.0)",9.5834546,44.0312914,0,POINT (44.0312914 9.5834546)
179,Maryam Abacha Université Américaine Du Niger,Niger,Niger,http://maaun.net,Full Member,"(17.607789, 8.081666, 0.0)",17.607789,8.081666,0,POINT (8.081666 17.607789)
180,Maseno University,"Kondele Kisumu-Busia Rd Maseno, Kisumu, Kenya",Kenya,http://maseno.ac.ke/,Full Member,"(-0.006416, 34.59738, 0.0)",-0.006416,34.59738,0,POINT (34.59738 -0.006416)
181,Masinde Muliro College Of Science And Technology,"Kakamega, Kenya",Kenya,http://www.mmust.ac.ke,Full Member,"(0.2925248, 34.76222509999999, 0.0)",0.2925248,34.7622251,0,POINT (34.76222509999999 0.2925248)
182,Matrouh University,"78X7+P7M, Mersa Matruh, Matrouh Governorate 5055335, Egypt",Egypt,http://www.mau.edu.eg/,Full Member,"(31.2993285, 27.3131594, 0.0)",31.2993285,27.3131594,0,POINT (27.3131594 31.2993285)
183,Mekelle University,"Mek'ele, Ethiopia",Ethiopia,https://infomekelle.com/,Full Member,"(13.4799262, 39.4849384, 0.0)",13.4799262,39.4849384,0,POINT (39.4849384 13.4799262)
184,Menoufia University,"Gamal Abd El-Nasir, Qism Shebeen El-Kom, Shibin el Kom, Menofia Governorate 6131567, Egypt",Egypt,http://mu.menofia.edu.eg/,Full Member,"(30.5649978, 31.0130847, 0.0)",30.5649978,31.0130847,0,POINT (31.0130847 30.5649978)
